 Curso Cinema 4D y Motion Design ,ESCUELA DE VIDEOJUEGOS MASTERD,Curso,,Online,,1 Año,Fechas a elegir,,,,,,,,Online,"[Cinema 4D,Cine 3D,Modelado 3D,Animación 3D,Cine de animación,Técnicas de animación,Bases cinematográficas]","<p>Unidad 1: Fundamentos del arte digital</p><p>Unidad 2: Bases del vídeo</p><p>Unidad 3: Bases cinematográficas</p><p>Unidad 4: Introducción a Cinema 4D</p><p>Unidad 5: Interfaz de Cinema 4D</p><p>Unidad 6: Textos, splines y generadores</p><p>Unidad 7: Objetos paramétricos y Deformadores</p><p>Unidad 8: Introducción a Modelado Poligonal</p><p>Unidad 9: Modos adicionales de modelado. Sculptural y volúmenes</p><p>Unidad 10: Cámaras, luces y técnicas de iluminación en Cinema 4D</p><p>Unidad 11: Materiales y texturas en Cinema 4D</p><p>Unidad 12: Técnicas de Animación</p><p>Unidad 13: El módulo Mograph</p><p>Unidad 14: Motores de renderizado</p><p>Unidad 15: Otros aspectos a tener en cuenta en Cinema 4D</p>"
 Curso de Cinema 4D , CEI: CENTRO DE ESTUDIOS DE INNOVACIÓN,Curso,Nivel intermedio,Online,180h,3 Meses,Fechas a elegir,,,,,,,Sí,Online,"[After effects,Motion Graphics,Motores de Render,Motion Design,Animación tradicional,Adobe Photoshop,Cinema 4D,El software,Sistema de vistas]",
 Master en Motion Graphics con After Effects y Cinema 4D + Titulación Universitaria ,EUROINNOVA INTERNATIONAL ONLINE EDUCATION_,Master,,Online,750h,12 Meses,Fechas a elegir,,,,,,,,Online,"[After effects,Adobe Premiere,Animación digital,Cinema 4D,Motion Graphics,Vídeo digital,Cine de animación,Modelado,Illustrator,Animaciones interactivas,Importación,Cine digital]","<p>PARTE 1. ADOBE ILLUSTRATOR CC</p><p>PARTE 2. ADOBE PREMIERE CC</p><p>PARTE 3. ADOBE AFTER EFFECT CC</p><p>PARTE 4. CINEMA 4D</p><p>MÓDULO 1. MODELADO</p><p>MÓDULO 2. MATERIALES, ILUMINACIÓN Y CÁMARAS</p><p>MÓDULO 3. ANIMACIÓN Y RENDERIZADO</p><p>PARTE 5. WORKFLOW CINE Y VÍDEO DIGITAL</p>"
" MÁSTER INTERNACIONAL MODELADO 3D, RENDER Y ANIMACIÓN + MÁSTER EN COACHING TECNOLÓGICO ",ESNECA BUSINESS SCHOOL,Master,,Online,,,Fechas a elegir,,,,Sí,,,,Online,"[Cinema 4D,Modelado 3D,Alineación de objetos,Interfaz Cinema,Manipulador de visores]","<p>CONTENIDO FORMATIVO</p><p>PARTE 1</p><p>MÓDULO 1. MODELADO</p><p>MÓDULO 2. MATERIALES, ILUMINACIÓN Y CÁMARAS</p><p>MÓDULO 3. ANIMACIÓN Y RENDERIZADO</p><p> </p><p>PARTE 2</p><p>INTRODUCCIÓN</p><p>BASES DEL COACHING</p><p>MÓDULO 1. INTRODUCCIÓN AL COACHING</p><p>MÓDULO 2. FUNDAMENTOS DEL COACHING</p><p>MÓDULO 3. FIGURA DEL COACH</p><p>MÓDULO 4. FIGURA DEL COACHEE</p><p>MÓDULO 5. PROCESO Y SESIONES DE COACHING</p><p>MÓDULO 6. HERRAMIENTAS Y TÉCNICAS DE COACHING</p>"
 Curso Experto en guión ,ESCUELA AUDIOVISUAL MASTERD,Curso,,Semipresencial,,,Fechas a elegir,En 24 sedes,,Sí,,,,,"[A Coruña, Badajoz, Castellón De La Plana(Castellón), Cáceres, Córdoba, Eivissa(Islas Baleares), Guadalajara, Huesca, León, Logroño(La Rioja), Lugo, Ourense(Orense), Palencia, Palma De Mallorca(Islas Baleares), Pamplona(Navarra), Salamanca, Santa Cruz De Tenerife(Tenerife), Santander(Cantabria), Segovia, Soria, Teruel, Vigo(Pontevedra), Vitoria-gasteiz(Álava), Ávila]","[Guión,GUIÓN CINEMATOGRÁFICO,Cine digital,Guión de cine,Guionista,Storyboard,Cine documental,Cinema 4D,Cine de acción,Cine de terror,Comunicación visual,Interpretación,Narrativa visual,Cine,Television,Narrativa audiovisual,Cinematografía,Guión de televisión,Guionista de cine,Guión cinematográfico,Ficción televisiiva]",<p>Guion Cinematográfico</p><p>Guion de TV y Ficción</p>
" Master Internacional Modelado 3d, Render y Animación ",EDUCA BUSINESS SCHOOL,Master,,A distancia,600h,12 Meses,Fechas a elegir,,,,,,,,A distancia,"[Creatividad,Illustrator,Innovación,Modelado,Render,Producción audiovisual,Cinema 4D,Animación 3D,Audiovisual,Renderización,Cine y Televisión,Profesional,Proyectos visuales,Movimiento digital,Montaje cinematográfico,Puesta en escena,Dirección cinematográfica,Realización cinematográfica,Edición cinematográfica,Lenguaje cinematográfico]",
" TIC en Modelado 3D, Render y Animación Profesional con Cinema 4D Broadcast (I5706P08) ",PSIQUE GROUP & BUSINESS SCHOOL.,Curso,,Online,200h,,Fechas a elegir,,,,,,,,Online,"[Animación 3D,Modelado 3D,Cinema 4D,Render,Modelado]",
 Curso Práctico de Mograph en Cinema 4D ,EUROINNOVA INTERNATIONAL ONLINE EDUCATION.,Curso,,Online,60h,6 Meses,Fechas a elegir,,,,,,,,Online,"[Cinema 4D,MASTER,Cursos,Master,Euroinnova cursos,Cursos,Cursos online euroinnova,Euroinnova cursos,Cursos online euroinnova,Master online euroinnova,Master online euroinnova,Master euroinnova,Master euroinnova,Diseño,Animación 3D,Mograph]",
 Curso Intensivo de Cinema 4D , CEI: CENTRO DE ESTUDIOS DE INNOVACIÓN,Curso,Nivel intermedio,Online,32h,Flexible,Fechas a elegir,,,,,,,Sí,Online,"[Adobe Photoshop,After effects,Edición de vídeo,Cinema 4D,Motion Graphics,Diseño 3D,Modelado básico,Interfaz del software,Proyecciones cámara,Vista de escena]",
 Curso Cinema 4D y Motion Design ,ESCUELA DE VIDEOJUEGOS MASTERD,Curso,,Semipresencial,,1 Año,Fechas a elegir,En 24 sedes,,,,,,,"[A Coruña, Badajoz, Castellón De La Plana(Castellón), Cáceres, Córdoba, Eivissa(Islas Baleares), Guadalajara, Huesca, León, Logroño(La Rioja), Lugo, Ourense(Orense), Palencia, Palma De Mallorca(Islas Baleares), Pamplona(Navarra), Salamanca, Santa Cruz De Tenerife(Tenerife), Santander(Cantabria), Segovia, Soria, Teruel, Vigo(Pontevedra), Vitoria-gasteiz(Álava), Ávila]","[Animación 3D,Videojuegos,Modelado,Modelado 3D,Cine 3D,Cinema 4D]","<p>Unidad 1: Fundamentos del arte digital</p><p>Unidad 2: Bases del vídeo</p><p>Unidad 3: Bases cinematográficas</p><p>Unidad 4: Introducción a Cinema 4D</p><p>Unidad 5: Interfaz de Cinema 4D</p><p>Unidad 6: Textos, splines y generadores</p><p>Unidad 7: Objetos paramétricos y Deformadores</p><p>Unidad 8: Introducción a Modelado Poligonal</p><p>Unidad 9: Modos adicionales de modelado. Sculptural y volúmenes</p><p>Unidad 10: Cámaras, luces y técnicas de iluminación en Cinema 4D</p><p>Unidad 11: Materiales y texturas en Cinema 4D</p><p>Unidad 12: Técnicas de Animación</p><p>Unidad 13: El módulo Mograph</p><p>Unidad 14: Motores de renderizado</p><p>Unidad 15: Otros aspectos a tener en cuenta en Cinema 4D</p>"
