nombre,link
Boston Celtics,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/bos/boston-celtics
Brooklyn Nets,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/bkn/brooklyn-nets
New York Knicks,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/ny/new-york-knicks
Philadelphia 76Ers,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/phi/philadelphia-76ers
Toronto Raptors,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/tor/toronto-raptors
Chicago Bulls,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/chi/chicago-bulls
Cleveland Cavaliers,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/cle/cleveland-cavaliers
Detroit Pistons,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/det/detroit-pistons
Indiana Pacers,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/ind/indiana-pacers
Milwaukee Bucks,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/mil/milwaukee-bucks
Denver Nuggets,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/den/denver-nuggets
Minnesota Timberwolves,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/min/minnesota-timberwolves
Oklahoma City Thunder,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/okc/oklahoma-city-thunder
Portland Trail Blazers,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/por/portland-trail-blazers
Utah Jazz,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/utah/utah-jazz
Golden State Warriors,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/gs/golden-state-warriors
La Clippers,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/lac/la-clippers
Los Angeles Lakers,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/lal/los-angeles-lakers
Phoenix Suns,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/phx/phoenix-suns
Sacramento Kings,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/sac/sacramento-kings
Atlanta Hawks,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/atl/atlanta-hawks
Charlotte Hornets,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/cha/charlotte-hornets
Miami Heat,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/mia/miami-heat
Orlando Magic,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/orl/orlando-magic
Washington Wizards,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/wsh/washington-wizards
Dallas Mavericks,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/dal/dallas-mavericks
Houston Rockets,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/hou/houston-rockets
Memphis Grizzlies,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/mem/memphis-grizzlies
New Orleans Pelicans,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/no/new-orleans-pelicans
San Antonio Spurs,https://www.espn.com.co/basquetbol/nba/equipo/plantel/_/nombre/sa/san-antonio-spurs
